Номер, Місто, Країна, Регіон, Кл-ть туристів, Середній вік туристів, З родиною чи без, Вартість одного дня, Податки, Прибуток міста
28, Баку, Азербайджан, Європа/Азія, 3 млн, 25-50 років, зазвичай без родини, $150, 10%, $1 млрд
29, Балі, Індонезія, Азія, 7 млн, 25-50 років, зазвичай з родиною, $140, 8%, $2.5 млрд
30, Бамако, Малі, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.7 млрд
31, Бамберг, Німеччина, Європа, 0.4 млн, 20-60 років, зазвичай з родиною, $80, 19%, $0.28 млрд
32, Бангалор, Індія, Азія, 3.5 млн, 25-50 років, зазвичай з родиною, $130, 7%, $1.3 млрд
33, Бангві, Центральноафриканська Республіка, Африка, 1 млн, 25-50 років, зазвичай з родиною, $80, 7%, $0.4 млрд
34, Бангкок, Таїланд, Азія, 22 млн, 25-50 років, зазвичай з родиною, $200, 10%, $10 млрд
35, Бандар-Сері-Бегаван, Бруней, Азія, 1.5 млн, 25-50 років, зазвичай без родини, $200, 5%, $1 млрд
36, Банджул, Гамбія, Африка, 1 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.5 млрд
37, Барранкілья, Колумбія, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $120, 8%, $0.9 млрд
38, Барселона, Іспанія, Європа, 15 млн, 25-50 років, зазвичай з родиною, $300, 10%, $10 млрд
39, Батуми, Грузія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.2 млрд
40, Бейрут, Ліван, Близький Схід, 3 млн, 25-50 років, зазвичай без родини, $230, 12%, $3 млрд
41, Белград, Сербія, Європа, 2.5 млн, 25-50 років, зазвичай з родиною, $160, 10%, $1.5 млрд
42, Белу-Оризонті, Бразилія, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $130, 8%, $1 млрд
43, Белфаст, Північна Ірландія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.7 млрд
44, Бенгазі, Лівія, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $140, 7%, $0.9 млрд
45, Бенгальору, Індія, Азія, 12 млн, 25-50 років, зазвичай з родиною, $180, 15%, $4 млрд
46, Бенідорм, Іспанія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $160, 10%, $0.8 млрд
47, Бергена, Норвегія, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $230, 10%, $0.5 млрд
48, Берлін, Німеччина, Європа, 5 млн, 20-50 років, зазвичай без родини, $200, 18%, $3 млрд
49, Бирмингем, Англія, Європа, 0.3 млн, 20-60 років, зазвичай з родиною, $110, 20%, $ 0.33 млрд
50, Білосток, Польща, Європа, 1 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.2 млрд
51, Бірмінгем, Великобританія, Європа, 7 млн, 25-50 років, зазвичай з родиною, $220, 10%, $4 млрд
52, Бішкек, Киргизстан, Азія, 1 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.5 млрд
53, Богота, Колумбія, Південна Америка, 5 млн, 25-50 років, зазвичай з родиною, $140, 8%, $2 млрд
54, Болонья, Італія, Європа, 6 млн, 25-50 років, зазвичай з родиною, $200, 10%, $3 млрд
55, Бонн, Німеччина, Європа, 1.8 млн, 20-70, зазвичай з родиною, $90, 19%, $0.17 млрд
56, Бордо, Франція, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.6 млрд
57, Бостон, США, Північна Америка, 20 млн, 25-50 років, зазвичай з родиною, $300, 10%, $10 млрд
58, Браззавіль, Республіка Конго, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 7%, $0.6 млрд
59, Бразиліа, Бразилія, Південна Америка, 3.5 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.5 млрд
60, Братислава, Словаччина, Європа, 2 млн, 25-50 років, зазвичай з родиною, $190, 15%, $1.5 млрд
61, Бріджтаун, Барбадос, Карибський регіон, 1.5 млн, 25-50 років, зазвичай з родиною, $250, 10%, $1 млрд
62, Брісбен, Австралія, Океанія, 3 млн, 25-50 років, зазвичай з родиною, $250, 10%, $2 млрд
63, Брно, Чехія, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.3 млрд
64, Брюгге, Бельгія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $200, 10%, $1.2 млрд
65, Брюссель, Бельгія, Європа, 3 млн, 25-50 років, зазвичай без родини, $190, 18%, $1.5 млрд
66, Брянськ, Росія, Європа, 500 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.4 млрд
67, Будапешт, Угорщина, Європа, 10 млн, 25-50 років, зазвичай з родиною, $180, 10%, $4 млрд
68, Буенос-Айрес, Аргентина, Південна Америка, 6 млн, 25-50 років, зазвичай з родиною, $180, 10%, $3 млрд
69, Бужумбура, Бурунді, Африка, 1 млн, 25-50 років, зазвичай з родиною, $90, 7%, $0.4 млрд
70, Бургас, Болгарія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.3 млрд
71, Бусан, Південна Корея, Азія, 4 млн, 25-50 років, зазвичай без родини, $220, 10%, $2 млрд
72, Бухарест, Румунія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $180, 10%, $2 млрд
73, Валенсія, Іспанія, Європа, 5 млн, 25-50 років, зазвичай з родиною, $200, 10%, $2 млрд
74, Вальпараїсо, Чилі, Південна Америка, 2 млн, 25-50 років, зазвичай без родини, $130, 10%, $0.9 млрд
75, Ванкувер, Канада, Північна Америка, 9 млн, 25-50 років, зазвичай з родиною, $250, 10%, $4.5 млрд
76, Варадеро, Куба, Карибський регіон, 3 млн, 25-50 років, зазвичай з родиною, $150, 5%, $1.5 млрд
77, Варна, Болгарія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.3 млрд
78, Варшава, Польща, Європа, 5 млн, 25-50 років, зазвичай з родиною, $190, 15%, $3.5 млрд
79, Ватикан, Італія, Європа, 5 млн, 25-50 років, зазвичай з родиною, $300, 10%, $1 млрд
80, Вашингтон, США, Північна Америка, 25 млн, 25-50 років, зазвичай з родиною, $300, 10%, $12 млрд
81, Веллінгтон, Нова Зеландія, Океанія, 500 тис., 25-50 років, зазвичай з родиною, $200, 10%, $0.4 млрд
82, Венеція, Італія, Європа, 4 млн, 25-50 років, зазвичай з родиною, $300, 10%, $3 млрд
83, Верона, Італія, Європа, 3 млн, 25-50 років, зазвичай без родини, $200, 15%, $1 млрд
84, В'єнтьян, Лаос, Азія, 1 млн, 25-50 років, зазвичай з родиною, $80, 6%, $0.5 млрд
85, Віго, Іспанія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.3 млрд
86, Відень, Австрія, Європа, 9 млн, 25-50 років, зазвичай з родиною, $250, 15%, $7 млрд
87, Вільнюс, Литва, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.4 млрд
88, Віндгук, Намібія, Африка, 1 млн, 25-50 років, зазвичай з родиною, $160, 8%, $0.8 млрд
89, Вінниця, Україна, Європа, 1 млн, 25-50 років, зазвичай з родиною, $100, 10%, $0.1 млрд
90, Вісбаден, Німеччина, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.2 млрд
91, Владивосток, Росія, Азія, 600 тис., 25-50 років, зазвичай з родиною, $150, 15%, $0.8 млрд
92, Воронеж, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $130, 15%, $0.8 млрд
93, Вроцлав, Польща, Європа, 3.5 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.5 млрд
94, Гаага, Нідерланди, Європа, 2 млн, 25-50 років, зазвичай без родини, $230, 18%, $1 млрд
95, Габороне, Ботсвана, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $140, 7%, $0.6 млрд
96, Гавана, Куба, Північна Америка, 4 млн, 30-60 років, зазвичай з родиною, $100, 5%, $1 млрд
97, Гамбург, Німеччина, Європа, 6 млн, 25-50 років, зазвичай з родиною, $230, 10%, $4 млрд
98, Гвадалахара, Мексика, Північна Америка, 5 млн, 25-50 років, зазвичай з родиною, $150, 15%, $3 млрд
99, Гватемала-Сіті, Гватемала, Центральна Америка, 2 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.8 млрд
100, Гданськ, Польща, Європа, 3 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.5 млрд
101, Гельсінкі, Фінляндія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $200, 10%, $1 млрд
102, Гент, Бельгія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.5 млрд
103, Генуя, Італія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.6 млрд
104, Глазго, Великобританія, Європа, 5 млн, 25-50 років, зазвичай з родиною, $240, 10%, $3.5 млрд
105, Глівіце, Польща, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.1 млрд
106, Гоа, Індія, Азія, 5 млн, 20-45 років, зазвичай без родини, $150, 8%, $2 млрд
107, Голлівуд, США, Північна Америка, 2 млн, 25-50 років, зазвичай з родиною, $230, 10%, $2.5 млрд
108, Гонконг, Китай, Азія, 30 млн, 25-50 років, зазвичай з родиною, $400, 10%, $25 млрд
109, Грозний, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $150, 15%, $0.8 млрд
110, Гуанчжоу, Китай, Азія, 8 млн, 25-45 років, зазвичай без родини, $150, 8%, $4 млрд
111, Гюмрі, Вірменія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
112, Давао, Філіппіни, Азія, 2 млн, 25-50 років, зазвичай з родиною, $120, 8%, $1 млрд
113, Дакар, Сенегал, Африка, 2 млн, 25-50 років, зазвичай з родиною, $150, 7%, $0.9 млрд
114, Дакка, Бангладеш, Азія, 3 млн, 25-50 років, зазвичай з родиною, $100, 7%, $1 млрд
115, Даллас, США, Північна Америка, 8 млн, 25-50 років, зазвичай з родиною, $250, 10%, $5 млрд
116, Дамаск, Сирія, Близький Схід, 1 млн, 25-50 років, зазвичай з родиною, $250, 10%, $1.5 млрд
117, Дананг, В'єтнам, Азія, 2 млн, 25-50 років, зазвичай з родиною, $120, 6%, $1 млрд
118, Дар-ес-Салам, Танзанія, Африка, 3 млн, 25-50 років, зазвичай з родиною, $100, 5%, $1 млрд
119, Делі, Індія, Азія, 20 млн, 25-50 років, зазвичай з родиною, $180, 15%, $5 млрд
120, Делфт, Нідерланди, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.2 млрд
121, Денвер, США, Північна Америка, 5 млн, 25-50 років, зазвичай з родиною, $250, 10%, $4.5 млрд
122, Детройт, США, Північна Америка, 8 млн, 25-50 років, зазвичай з родиною, $240, 10%, $5 млрд
123, Джайпур, Індія, Азія, 3 млн, 25-50 років, зазвичай без родини, $110, 7%, $1.2 млрд
124, Джакарта, Індонезія, Азія, 5 млн, 25-50 років, зазвичай з родиною, $140, 8%, $2.5 млрд
125, Джидда, Саудівська Аравія, Близький Схід, 3 млн, 25-50 років, зазвичай з родиною, $260, 15%, $3 млрд
126, Джорджтаун, Малайзія, Азія, 2.5 млн, 25-50 років, зазвичай без родини, $130, 8%, $1.2 млрд
127, Джуба, Південний Судан, Африка, 1 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.5 млрд
128, Дніпро, Україна, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
129, Долина Вісла, Польща, Європа, 1 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.3 млрд
130, Донецьк, Україна, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
131, Дортмунд, Німеччина, Європа, 2.5 млн, 25-50 років, зазвичай з родиною, $190, 10%, $1 млрд
132, Доха, Катар, Близький Схід, 5 млн, 25-50 років, зазвичай без родини, $350, 15%, $6 млрд
133, Дрезден, Німеччина, Європа, 2 млн, 25-50 років, зазвичай з родиною, $180, 10%, $1 млрд
134, Дуала, Камерун, Африка, 1 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.5 млрд
135, Дубай, ОАЕ, Близький Схід, 15 млн, 25-50 років, зазвичай без родини, $350, 15%, $12 млрд
136, Дублін, Ірландія, Європа, 6 млн, 25-50 років, зазвичай з родиною, $270, 10%, $4.5 млрд
137, Дубровник, Хорватія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.5 млрд
138, Дурбан, ПАР, Африка, 3 млн, 25-50 років, зазвичай з родиною, $180, 10%, $2 млрд
139, Душанбе, Таджикистан, Азія, 1.5 млн, 25-50 років, зазвичай без родини, $90, 10%, $0.5 млрд
140, Единбург, Великобританія, Європа, 4 млн, 25-50 років, зазвичай з родиною, $250, 10%, $2.5 млрд
141, Ель-Кувейт, Кувейт, Близький Схід, 2 млн, 25-50 років, зазвичай з родиною, $220, 10%, $2 млрд
142, Ер-Ріяд, Саудівська Аравія, Близький Схід, 3 млн, 25-50 років, зазвичай з родиною, $290, 15%, $4 млрд
143, Єкатеринбург, Росія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $170, 15%, $1 млрд
144, Єреван, Вірменія, Європа, 2 млн, 25-50 років, зазвичай без родини, $120, 10%, $0.7 млрд
145, Єрусалим, Ізраїль, Близький Схід, 4 млн, 25-50 років, зазвичай без родини, $250, 15%, $3 млрд
146, Женева, Швейцарія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $300, 10%, $1.5 млрд
147, Забжє, Польща, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.1 млрд
148, Загреб, Хорватія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $200, 10%, $2 млрд
149, Зальцбург, Австрія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.6 млрд
150, Иркутськ, Росія, Азія, 600 тис., 25-50 років, зазвичай з родиною, $140, 15%, $0.6 млрд
151, Ізмір, Туреччина, Європа, 3 млн, 25-50 років, зазвичай з родиною, $170, 10%, $2 млрд
152, Інчхон, Південна Корея, Азія, 2 млн, 25-50 років, зазвичай без родини, $200, 10%, $1.2 млрд
153, Ісфахан, Іран, Близький Схід, 2 млн, 25-50 років, зазвичай з родиною, $200, 10%, $1.5 млрд
154, Йерусалим, Ізраїль, Близький Схід, 4 млн, 30-60 років, зазвичай з родиною, $200, 12%, $2 млрд
155, Йоганнесбург, ПАР, Африка, 6 млн, 25-50 років, зазвичай без родини, $200, 10%, $4 млрд
156, Казань, Росія, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $150, 15%, $1 млрд
157, Каїр, Єгипет, Африка, 10 млн, 25-50 років, зазвичай з родиною, $200, 10%, $4 млрд
158, Калгарі, Канада, Північна Америка, 2 млн, 25-50 років, зазвичай без родини, $250, 12%, $1.2 млрд
159, Калгурлі, Австралія, Океанія, 0.5 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.1 млрд
160, Калінінград, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $150, 15%, $0.3 млрд
161, Калмар, Швеція, Європа, 0.8 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.2 млрд
162, Калуга, Росія, Європа, 400 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.4 млрд
163, Калуш, Україна, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $90, 10%, $0.05 млрд
164, Кальї, Колумбія, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $140, 15%, $1.5 млрд
165, Калькутта, Індія, Азія, 4 млн, 25-50 років, зазвичай з родиною, $120, 7%, $1.5 млрд
166, Кальмар, Норвегія, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.3 млрд
167, Кальярі, Італія, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.5 млрд
168, Камчатка, Росія, Азія, 200 тис., 25-50 років, зазвичай з родиною, $150, 15%, $0.2 млрд
169, Канберра, Австралія, Океанія, 1 млн, 25-50 років, зазвичай з родиною, $240, 10%, $0.5 млрд
170, Канберра, Австралія, Океанія, 500 тис., 25-50 років, зазвичай з родиною, $220, 10%, $0.5 млрд
171, Канзас-Сіті, США, Північна Америка, 5 млн, 25-50 років, зазвичай з родиною, $180, 10%, $3 млрд
172, Канкун, Мексика, Північна Америка, 6 млн, 20-40 років, зазвичай з родиною, $220, 10%, $4 млрд
173, Канни, Франція, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $300, 10%, $0.4 млрд
174, Кано, Нігерія, Африка, 2 млн, 25-50 років, зазвичай з родиною, $130, 7%, $0.9 млрд
175, Каптаун, Південна Африка, Африка, 5 млн, 25-50 років, зазвичай з родиною, $220, 10%, $2.5 млрд
176, Каракас, Венесуела, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.3 млрд
177, Картахена, Колумбія, Південна Америка, 3 млн, 25-50 років, зазвичай з родиною, $150, 15%, $2 млрд
178, Касабланка, Марокко, Африка, 3 млн, 25-50 років, зазвичай з родиною, $130, 7%, $1 млрд
179, Катманду, Непал, Азія, 2 млн, 25-50 років, зазвичай без родини, $90, 5%, $0.7 млрд
180, Катовіце, Польща, Європа, 3 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.4 млрд
181, Квебек, Канада, Північна Америка, 1.5 млн, 25-50 років, зазвичай з родиною, $210, 10%, $1 млрд
182, Кейптаун, ПАР, Африка, 5 млн, 25-50 років, зазвичай з родиною, $180, 8%, $2 млрд
183, Кельн, Німеччина, Європа, 3 млн, 25-50 років, зазвичай з родиною, $210, 10%, $1.5 млрд
184, Кембридж, Великобританія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $220, 10%, $2 млрд
185, Київ, Україна, Європа, 4 млн, 25-50 років, зазвичай з родиною, $170, 15%, $2.5 млрд
186, Кишинів, Молдова, Європа, 1 млн, 25-50 років, зазвичай з родиною, $90, 15%, $0.4 млрд
187, Кігалі, Руанда, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 7%, $0.6 млрд
188, Кінгстон, Ямайка, Карибський регіон, 2 млн, 25-50 років, зазвичай з родиною, $200, 8%, $1.2 млрд
189, Кіншаса, Демократична Республіка Конго, Африка, 2 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.8 млрд
190, Кіото, Японія, Азія, 5 млн, 25-50 років, зазвичай без родини, $220, 10%, $3 млрд
191, Кіров, Росія, Європа, 400 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.4 млрд
192, Кіто, Еквадор, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.3 млрд
193, Клайпеда, Литва, Європа, 0.8 млн, 25-50 років, зазвичай з родиною, $100, 10%, $0.2 млрд
194, Клуж-Напока, Румунія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $110, 15%, $0.3 млрд
195, Кобленц, Німеччина, Європа, 1 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.5 млрд
196, Коломбо, Шрі-Ланка, Азія, 2 млн, 25-50 років, зазвичай з родиною, $130, 7%, $1 млрд
197, Копенгаген, Данія, Європа, 8 млн, 25-50 років, зазвичай з родиною, $300, 10%, $5.5 млрд
198, Кордова, Аргентина, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $140, 8%, $1 млрд
199, Кострома, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.3 млрд
200, Кота-Кінабалу, Малайзія, Азія, 2 млн, 25-50 років, зазвичай з родиною, $140, 8%, $1 млрд
201, Коулун, Гонконг, Азія, 12 млн, 25-50 років, зазвичай без родини, $250, 10%, $6 млрд
202, Кочі, Індія, Азія, 2 млн, 25-50 років, зазвичай з родиною, $110, 7%, $0.8 млрд
203, Кошице, Словаччина, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $90, 10%, $0.1 млрд
204, Краків, Польща, Європа, 8 млн, 25-50 років, зазвичай з родиною, $180, 10%, $2.5 млрд
205, Краловець, Чехія, Європа, 0.8 млн, 25-50 років, зазвичай з родиною, $100, 10%, $0.3 млрд
206, Краснодар, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
207, Куала-Лумпур, Малайзія, Азія, 8 млн, 25-50 років, зазвичай без родини, $150, 8%, $3 млрд
208, Кумасі, Гана, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $130, 7%, $0.8 млрд
209, Куньмін, Китай, Азія, 3 млн, 25-50 років, зазвичай з родиною, $130, 8%, $1.5 млрд
210, Курітіба, Бразилія, Південна Америка, 2 млн, 25-50 років, зазвичай без родини, $140, 8%, $0.9 млрд
211, Лагос, Нігерія, Африка, 6 млн, 25-50 років, зазвичай з родиною, $160, 7%, $2.5 млрд
212, Ла-Пас, Болівія, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $110, 7%, $0.8 млрд
213, Ларнака, Кіпр, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.3 млрд
214, Ла-Романа, Домініканська Республіка, Карибський регіон, 2 млн, 25-50 років, зазвичай з родиною, $170, 7%, $1 млрд
215, Лас-Вегас, США, Північна Америка, 42 млн, 25-50 років, зазвичай з родиною, $300, 10%, $18 млрд
216, Лейпциг, Німеччина, Європа, 5 млн, 25-50 років, зазвичай з родиною, $220, 10%, $2.5 млрд
217, Липецьк, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $110, 15%, $0.3 млрд
218, Лібревіль, Габон, Африка, 1 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.5 млрд
219, Ліверпуль, Великобританія, Європа, 5 млн, 25-50 років, зазвичай з родиною, $230, 10%, $3 млрд
220, Лілль, Франція, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $160, 10%, $1.2 млрд
221, Лілонгве, Малаві, Африка, 1 млн, 25-50 років, зазвичай з родиною, $120, 8%, $0.6 млрд
222, Ліма, Перу, Південна Америка, 10 млн, 25-50 років, зазвичай з родиною, $150, 10%, $4 млрд
223, Лімасол, Кіпр, Європа, 1 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.3 млрд
224, Ліон, Франція, Європа, 3 млн, 25-50 років, зазвичай з родиною, $200, 10%, $1.5 млрд
225, Лісабон, Португалія, Європа, 12 млн, 25-50 років, зазвичай з родиною, $200, 10%, $4 млрд
226, Лодзь, Польща, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.4 млрд
227, Лозанна, Швейцарія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $250, 10%, $0.5 млрд
228, Ломе, Того, Африка, 1 млн, 25-50 років, зазвичай з родиною, $110, 7%, $0.5 млрд
229, Лондон, Велика Британія, Європа, 30 млн, 18-45 років, зазвичай без родини, $280, 20%, $30 млрд
230, Лос-Анджелес, США, Північна Америка, 45 млн, 20-45 років, зазвичай без родини, $350, 15%, $25 млрд
231, Луангпрабанг, Лаос, Азія, 1.5 млн, 25-50 років, зазвичай з родиною, $90, 6%, $0.7 млрд
232, Луанда, Ангола, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $130, 7%, $0.7 млрд
233, Лусака, Замбія, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.6 млрд
234, Луцьк, Україна, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $90, 10%, $0.05 млрд
235, Львів, Україна, Європа, 2.5 млн, 25-50 років, зазвичай з родиною, $160, 15%, $1.5 млрд
236, Льєж, Бельгія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.4 млрд
237, Любляна, Словенія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $190, 10%, $1.5 млрд
238, Люксембург, Люксембург, Європа, 2 млн, 25-50 років, зазвичай без родини, $250, 20%, $1 млрд
239, Магнітогорськ, Росія, Європа, 400 тис., 25-50 років, зазвичай з родиною, $110, 15%, $0.3 млрд
240, Мадрид, Іспанія, Європа, 15 млн, 25-50 років, зазвичай з родиною, $250, 10%, $8 млрд
241, Мае, Сейшели, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $400, 15%, $1.5 млрд
242, Макао, Китай, Азія, 10 млн, 25-50 років, зазвичай без родини, $300, 12%, $7 млрд
243, Малага, Іспанія, Європа, 3 млн, 25-50 років, зазвичай без родини, $170, 12%, $1.2 млрд
